time,state_0,state_1
1.000000000000001e-01,1.324047899517655e-03,-1.970306257708253e+00
2.000000000000001e-01,-1.934309547994262e-01,-1.921709402550788e+00
3.000000000000002e-01,-3.824160506702933e-01,-1.855064481528973e+00
4.000000000000003e-01,-5.638759724128983e-01,-1.771388149547452e+00
5.000000000000003e-01,-7.361646514982290e-01,-1.671845412190400e+00
6.000000000000004e-01,-8.977593394818951e-01,-1.557735163461858e+00
7.000000000000005e-01,-1.047273229763311e+00,-1.430474685418069e+00
8.000000000000006e-01,-1.183466484624082e+00,-1.291583283583869e+00
9.000000000000007e-01,-1.305255590039137e+00,-1.142665237150980e+00
1.000000000000001e+00,-1.411720978831253e+00,-9.853922461901671e-01
1.099999999999990e+00,-1.502112881046648e+00,-8.214855594765377e-01
1.199999999999979e+00,-1.575855378780675e+00,-6.526979660512200e-01
1.299999999999968e+00,-1.632548660895856e+00,-4.807958313646069e-01
1.399999999999957e+00,-1.671969490972201e+00,-3.075413548243029e-01
1.499999999999946e+00,-1.694069919240970e+00,-1.346752198793917e-01
1.599999999999935e+00,-1.698974286015473e+00,3.610019949914373e-02
1.699999999999924e+00,-1.686974580092816e+00,2.031369208307546e-01
1.799999999999913e+00,-1.658524230616968e+00,3.648565786292519e-01
1.899999999999902e+00,-1.614230424836175e+00,5.197646597413125e-01
1.999999999999891e+00,-1.554845056939906e+00,6.664636273042741e-01
2.099999999999880e+00,-1.481254424619622e+00,8.036648255023793e-01
2.199999999999869e+00,-1.394467800076013e+00,9.301990714964914e-01
2.299999999999858e+00,-1.295605010820514e+00,1.045025855743206e+00
2.399999999999847e+00,-1.185883172734329e+00,1.147241087245721e+00
2.499999999999836e+00,-1.066602723413512e+00,1.236083335929517e+00
2.599999999999825e+00,-9.391329078193105e-01,1.310938540149562e+00
2.699999999999814e+00,-8.048968706608391e-01,1.371343163152902e+00
2.799999999999803e+00,-6.653565107696363e-01,1.416985797984296e+00
2.899999999999792e+00,-5.219972520058281e-01,1.447707235681415e+00
2.999999999999781e+00,-3.763128830011855e-01,1.463499026513887e+00
3.099999999999770e+00,-2.297906143475840e-01,1.464500578338732e+00
3.199999999999759e+00,-8.389649674566618e-02,1.450994849743517e+00
3.299999999999748e+00,5.993866278406013e-02,1.423402708407495e+00
3.399999999999737e+00,2.003327571672848e-01,1.382276036920632e+00
3.499999999999726e+00,3.359650873299322e-01,1.328289679062615e+00
3.599999999999715e+00,4.655882111424078e-01,1.262232329173032e+00
3.699999999999704e+00,5.880388330508892e-01,1.184996475667056e+00
3.799999999999693e+00,7.022476456665715e-01,1.097567516908724e+00
3.899999999999681e+00,8.072480467083984e-01,1.001012173500536e+00
3.999999999999670e+00,9.021836673371553e-01,8.964663255517243e-01
4.099999999999704e+00,9.863146609435346e-01,7.851224066301478e-01
4.199999999999737e+00,1.059022714723537e+00,6.682164878803611e-01
4.299999999999771e+00,1.119814759755110e+00,5.470151862122270e-01
4.399999999999804e+00,1.168325368645828e+00,4.228025295533666e-01
4.499999999999837e+00,1.204317843020892e+00,2.968669099500034e-01
4.599999999999871e+00,1.227684006036502e+00,1.704882518420533e-01
4.699999999999904e+00,1.238442727613322e+00,4.492551818846893e-02
4.799999999999938e+00,1.236737222072905e+00,-7.859532865244262e-02
4.899999999999971e+00,1.222831169217985e+00,-1.988928011965002e-01
5.000000000000004e+00,1.197103720525950e+00,-3.148406939373552e-01
5.100000000000038e+00,1.160043461932494e+00,-4.253781295829057e-01
5.200000000000071e+00,1.112241413589018e+00,-5.295187601090566e-01
5.300000000000105e+00,1.054383154912309e+00,-6.263590483459163e-01
5.400000000000138e+00,9.872401701491044e-01,-7.150855663782087e-01
5.500000000000171e+00,9.116605155037042e-01,-7.949812580294849e-01
5.600000000000205e+00,8.285589135871924e-01,-8.654306239915426e-01
5.700000000000238e+00,7.389063845179122e-01,-9.259237996386571e-01
5.800000000000272e+00,6.437195254215692e-01,-9.760595071135005e-01
5.900000000000305e+00,5.440495513447547e-01,-1.015546874772401e+00
6.000000000000338e+00,4.409712107180611e-01,-1.044206128419021e+00
6.100000000000372e+00,3.355716875057154e-01,-1.061968169828574e+00
6.200000000000405e+00,2.289396000899118e-01,-1.068873068765111e+00
6.300000000000439e+00,1.221542038019664e-01,-1.065067504923749e+00
6.400000000000472e+00,1.627489988087304e-02,-1.050801205896095e+00
6.500000000000505e+00,-8.766885142667107e-02,-1.026422436276059e+00
6.600000000000539e+00,-1.886871218434973e-01,-9.923726013183770e-01
6.700000000000572e+00,-2.858385250584519e-01,-9.491800360657343e-01
6.800000000000606e+00,-3.782385681156990e-01,-8.974530575138129e-01
6.900000000000639e+00,-4.650672746227163e-01,-8.378723631379784e-01
7.000000000000672e+00,-5.455760187840050e-01,-7.711828639214288e-01
7.100000000000706e+00,-6.190935182821047e-01,-6.981850438735200e-01
7.200000000000739e+00,-6.850309433777857e-01,-6.197259408896184e-01
7.300000000000773e+00,-7.428861091881080e-01,-5.366898456715066e-01
7.400000000000806e+00,-7.922467278248843e-01,-4.499888163012599e-01
7.500000000000839e+00,-8.327927068380550e-01,-3.605531059526835e-01
7.600000000000873e+00,-8.642974901112438e-01,-2.693216001533465e-01
7.700000000000906e+00,-8.866284469055160e-01,-1.772323580066877e-01
7.800000000000940e+00,-8.997463240506869e-01,-8.521334888580318e-02
7.900000000000973e+00,-9.037037852542497e-01,5.826527635208661e-03
8.000000000001005e+00,-8.986430700539685e-01,9.500605538625168e-02
8.100000000000950e+00,-8.847928130049809e-01,1.814798707896918e-01
8.200000000000895e+00,-8.624640711957916e-01,2.644461156193029e-01
8.300000000000839e+00,-8.320456150667689e-01,3.431535078514150e-01
8.400000000000784e+00,-7.939985437039081e-01,4.169077721830153e-01
8.500000000000728e+00,-7.488502912518991e-01,4.850773792828853e-01
8.600000000000673e+00,-6.971880957941969e-01,5.470985506887206e-01
8.700000000000617e+00,-6.396520059525174e-01,6.024794943809006e-01
8.800000000000562e+00,-5.769275035411466e-01,6.508038443664594e-01
8.900000000000507e+00,-5.097378228584573e-01,6.917332860091382e-01
9.000000000000451e+00,-4.388360486033888e-01,7.250093572579573e-01
9.100000000000396e+00,-3.649970749710859e-01,7.504544242741111e-01
9.200000000000340e+00,-2.890095082205184e-01,7.679718381528918e-01
9.300000000000285e+00,-2.116675939365666e-01,7.775452874056823e-01
9.400000000000230e+00,-1.337632483564765e-01,7.792373685325624e-01
9.500000000000174e+00,-5.607827052949291e-02,7.731874043088497e-01
9.600000000000119e+00,2.062319123050419e-02,7.596085462642620e-01
9.700000000000063e+00,9.560184910972266e-02,7.387842041921151e-01
9.800000000000008e+00,1.681500968658749e-01,7.110638513350324e-01
9.899999999999952e+00,2.375983824260594e-01,6.768582591064459e-01
9.999999999999897e+00,3.033210778510902e-01,6.366342197839526e-01
1.009999999999984e+01,3.647417985509607e-01,5.909088195186742e-01
1.019999999999979e+01,4.213381300371066e-01,5.402433272187281e-01
1.029999999999973e+01,4.726457271840326e-01,4.852367673667207e-01
1.039999999999968e+01,5.182617578738454e-01,4.265192466101492e-01
1.049999999999962e+01,5.578476699398212e-01,3.647451050164676e-01
1.059999999999956e+01,5.911312674368266e-01,3.005859632153348e-01
1.069999999999951e+01,6.179080893755128e-01,2.347237362701615e-01
1.079999999999945e+01,6.380420910934042e-01,1.678436840474564e-01
1.089999999999940e+01,6.514656353312035e-01,1.006275661098928e-01
1.099999999999934e+01,6.581788067713294e-01,3.374696677803746e-02
1.109999999999929e+01,6.582480702159126e-01,-3.214314697756508e-02
1.119999999999923e+01,6.518042986749126e-01,-9.641057569629209e-02
1.129999999999918e+01,6.390402033479494e-01,-1.584516905803462e-01
1.139999999999912e+01,6.202072027668291e-01,-2.176968391046617e-01
1.149999999999907e+01,5.956117731758744e-01,-2.736153074811537e-01
1.159999999999901e+01,5.656113265257940e-01,-3.257197996614211e-01
1.169999999999895e+01,5.306096662115604e-01,-3.735703981429294e-01
1.179999999999890e+01,4.910520738692670e-01,-4.167779776577100e-01
1.189999999999884e+01,4.474200831409198e-01,-4.550070488076000e-01
1.199999999999879e+01,4.002259983057140e-01,-4.879780148034184e-01
1.209999999999873e+01,3.500072170537529e-01,-5.154688306047935e-01
1.219999999999868e+01,2.973204174419270e-01,-5.373160598810046e-01
1.229999999999862e+01,2.427356692263803e-01,-5.534153312608820e-01
1.239999999999857e+01,1.868305293221498e-01,-5.637212012532266e-01
1.249999999999851e+01,1.301841801144515e-01,-5.682464369425105e-01
1.259999999999846e+01,7.337166775935172e-02,-5.670607370449432e-01
1.269999999999840e+01,1.695829549102839e-02,-5.602889150979651e-01
1.279999999999835e+01,-3.850577566998180e-02,-5.481085734062839e-01
1.289999999999829e+01,-9.249066950232528e-02,-5.307473008384368e-01
1.299999999999823e+01,-1.444916346736936e-01,-5.084794316228387e-01
1.309999999999818e+01,-1.940335404446402e-01,-4.816224058994367e-01
1.319999999999812e+01,-2.406749903322830e-01,-4.505327759156846e-01
1.329999999999807e+01,-2.840120206047213e-01,-4.156019043919075e-01
1.339999999999801e+01,-3.236813552400272e-01,-3.772514037050781e-01
1.349999999999796e+01,-3.593631939329945e-01,-3.359283661406284e-01
1.359999999999790e+01,-3.907835148157963e-01,-2.921004365337606e-01
1.369999999999785e+01,-4.177158787223894e-01,-2.462507791646305e-01
1.379999999999779e+01,-4.399827270182308e-01,-1.988729907908880e-01
1.389999999999774e+01,-4.574561701847097e-01,-1.504660112065165e-01
1.399999999999768e+01,-4.700582694410262e-01,-1.015290817228244e-01
1.409999999999762e+01,-4.777608186561241e-01,-5.255680049546658e-02
1.419999999999757e+01,-4.805846386030155e-01,-4.034321694576203e-03
1.429999999999751e+01,-4.785984001932976e-01,4.356725683847256e-02
1.439999999999746e+01,-4.719169976597304e-01,8.979527555274142e-02
1.449999999999740e+01,-4.606994966916516e-01,1.342196259815178e-01
1.459999999999735e+01,-4.451466862376278e-01,1.764365590126338e-01
1.469999999999729e+01,-4.254982660418430e-01,2.160721569922912e-01
1.479999999999724e+01,-4.020297049492326e-01,2.527854419714384e-01
1.489999999999718e+01,-3.750488075775362e-01,2.862710965514984e-01
1.499999999999713e+01,-3.448920290948930e-01,3.162617780847548e-01
1.509999999999707e+01,-3.119205795465829e-01,3.425300113884819e-01
1.519999999999702e+01,-2.765163604357277e-01,3.648896495952930e-01
1.529999999999696e+01,-2.390777770765899e-01,3.831968972398391e-01
1.539999999999690e+01,-2.000154706062705e-01,3.973508941293677e-01
1.549999999999685e+01,-1.597480134663941e-01,4.072938629193069e-01
1.559999999999679e+01,-1.186976116602056e-01,4.130108275732181e-01
1.569999999999674e+01,-7.728585616597797e-02,4.145289139892875e-01
1.579999999999668e+01,-3.592956456215218e-02,4.119162479855055e-01
1.589999999999663e+01,4.963247785727248e-03,4.052804695179554e-01
1.599999999999657e+01,4.499722968708603e-02,3.947668854292776e-01
1.609999999999669e+01,8.379335433713866e-02,3.805562861586630e-01
1.619999999999682e+01,1.209923455630682e-01,3.628624546654081e-01
1.629999999999694e+01,1.562578408445263e-01,3.419293983033629e-01
1.639999999999706e+01,1.892792650307582e-01,3.180283365156675e-01
1.649999999999718e+01,2.197743920549389e-01,2.914544789838319e-01
1.659999999999730e+01,2.474915754822460e-01,2.625236302523308e-01
1.669999999999743e+01,2.722116323836934e-01,2.315686578531910e-01
1.679999999999755e+01,2.937493687642733e-01,1.989358615722354e-01
1.689999999999767e+01,3.119547385529339e-01,1.649812817312341e-01
1.699999999999779e+01,3.267136319451497e-01,1.300669842135373e-01
1.709999999999792e+01,3.379482926387778e-01,9.455735944376914e-02
1.719999999999804e+01,3.456173671841362e-01,5.881547165730681e-02
1.729999999999816e+01,3.497155932447410e-01,2.319949357828138e-02
1.739999999999828e+01,3.502731370026027e-01,-1.194073991545303e-02
1.749999999999840e+01,3.473545932101479e-01,-4.626702740390381e-02
1.759999999999853e+01,3.410576644607120e-01,-7.945591619604281e-02
1.769999999999865e+01,3.315115390947074e-01,-1.112016100138518e-01
1.779999999999877e+01,3.188749897553054e-01,-1.412186444357908e-01
1.789999999999889e+01,3.033342169350206e-01,-1.692443082317627e-01
1.799999999999902e+01,2.851004638952475e-01,-1.950407916684057e-01
1.809999999999914e+01,2.644074310800812e-01,-2.183970459391379e-01
1.819999999999926e+01,2.415085195723849e-01,-2.391303410448094e-01
1.829999999999938e+01,2.166739342461829e-01,-2.570875126848388e-01
1.839999999999950e+01,1.901876780503902e-01,-2.721458919820734e-01
1.849999999999963e+01,1.623444693134225e-01,-2.842139151244609e-01
1.859999999999975e+01,1.334466140882766e-01,-2.932314132307751e-01
1.869999999999987e+01,1.038008653684037e-01,-2.991695859049151e-01
1.879999999999999e+01,7.371530050429025e-02,-3.020306650037699e-01
1.890000000000012e+01,4.349624735024482e-02,-3.018472780789833e-01
1.900000000000024e+01,1.344528858429922e-02,-2.986815237365717e-01
1.910000000000036e+01,-1.614362771219442e-02,-2.926237737657280e-01
1.920000000000048e+01,-4.498694473600559e-02,-2.837912192969900e-01
1.930000000000060e+01,-7.281409626267596e-02,-2.723261804403310e-01
1.940000000000073e+01,-9.936992596936450e-02,-2.583942008083548e-01
1.950000000000085e+01,-1.244169064107393e-01,-2.421819500339157e-01
1.960000000000097e+01,-1.477371396640200e-01,-2.238949588333025e-01
1.970000000000109e+01,-1.691341241751992e-01,-2.037552123365003e-01
1.980000000000122e+01,-1.884342749575922e-01,-1.819986282988064e-01
1.990000000000134e+01,-2.054881869882310e-01,-1.588724474198825e-01
2.000000000000146e+01,-2.201716343890827e-01,-1.346325633266804e-01
2.010000000000158e+01,-2.323863007405885e-01,-1.095408198278947e-01
2.020000000000170e+01,-2.420602386268947e-01,-8.386230282469326e-02
2.030000000000183e+01,-2.491480592283336e-01,-5.786265377308085e-02
2.040000000000195e+01,-2.536308554310532e-01,-3.180543084749338e-02
2.050000000000207e+01,-2.555158644911354e-01,-5.949542965541300e-03
2.060000000000219e+01,-2.548358787474420e-01,1.945321938515264e-02
2.070000000000232e+01,-2.516484152016265e-01,4.416053400874288e-02
2.080000000000244e+01,-2.460346569549255e-01,6.794175666829229e-02
2.090000000000256e+01,-2.380981814910107e-01,9.057997147533998e-02
2.100000000000268e+01,-2.279634926059929e-01,1.118738648725069e-01
2.110000000000280e+01,-2.157743743963768e-01,1.316394081640157e-01
2.120000000000293e+01,-2.016920871114960e-01,1.497113357408404e-01
2.130000000000305e+01,-1.858934258490947e-01,1.659444084227843e-01
2.140000000000317e+01,-1.685686640141371e-01,1.802144536749517e-01
2.150000000000329e+01,-1.499194041668439e-01,1.924191768265439e-01
2.160000000000342e+01,-1.301563593540757e-01,2.024787398015206e-01
2.170000000000354e+01,-1.094970882485797e-01,2.103361062396607e-01
2.180000000000366e+01,-8.816370741570678e-02,2.159571542197170e-01
2.190000000000378e+01,-6.638060379171605e-02,2.193305600713501e-01
2.200000000000390e+01,-4.437216999858948e-02,2.204674589579678e-01
2.210000000000403e+01,-2.236058444637375e-02,2.194008900083562e-01
2.220000000000415e+01,-5.636572963447666e-04,2.161850357523125e-01
2.230000000000427e+01,2.080723771050822e-02,2.108942674571513e-01
2.240000000000439e+01,4.154912680071429e-02,2.036220096524327e-01
2.250000000000452e+01,6.146927773874254e-02,1.944794386558185e-01
2.260000000000464e+01,8.038690361833674e-02,1.835940312617774e-01
2.270000000000476e+01,9.813471474835903e-02,1.711079809170887e-01
2.280000000000488e+01,1.145603062891744e-01,1.571764996749309e-01
2.290000000000500e+01,1.295273711648560e-01,1.419660249870674e-01
2.300000000000513e+01,1.429167297123509e-01,1.256523509576178e-01
2.310000000000525e+01,1.546271695107404e-01,1.084187040405907e-01
2.320000000000537e+01,1.645760908413399e-01,9.045378331726305e-02
2.330000000000549e+01,1.726999552422472e-01,7.194978544116484e-02
2.340000000000562e+01,1.789545366190411e-01,5.310043409233513e-02
2.350000000000574e+01,1.833149763371906e-01,3.409903334501704e-02
2.360000000000586e+01,1.857756456325974e-01,1.513656373216969e-02
2.370000000000598e+01,1.863498205167239e-01,-3.600161004134844e-03
2.380000000000610e+01,1.850691761051327e-01,-2.193025944390000e-02
2.390000000000623e+01,1.819831089474086e-01,-3.968045437553797e-02
2.400000000000635e+01,1.771578974680565e-01,-5.668663635264550e-02
2.410000000000647e+01,1.706757120292600e-01,-7.279530559893799e-02
2.420000000000659e+01,1.626334873860592e-01,-8.786488040628646e-02
2.430000000000672e+01,1.531416714129021e-01,-1.017668617262546e-01
2.440000000000684e+01,1.423228649296758e-01,-1.143868452820710e-01
2.450000000000696e+01,1.303103682390006e-01,-1.256253742081035e-01
2.460000000000708e+01,1.172466506002849e-01,-1.353986269399361e-01
2.470000000000720e+01,1.032817593070911e-01,-1.436389368124134e-01
2.480000000000733e+01,8.857168530181909e-02,-1.502951415579766e-01
2.490000000000745e+01,7.327670235634180e-02,-1.553327626161083e-01
